Sitio_A,Sitio_B,Sitio_C,Sitio_D
20,18.7,18.7,21.7
24,21.2,24.2,22.2
25,24,26,24.4
25.5,22.5,24.3,26.1
28,25,27,24.4
23,28.4,25.5,25.6
28,25.6,28.6,27.2
20,21.2,24.5,21.7
24,23.6,23.5,26.7
24,23,24.3,26.1
22,21.2,22,26.7
24,19.7,21.8,22.2
21,18.7,21,25.6
23,20.5,23.8,26.1
24,22.4,24.3,27.2
23,21.6,23.6,26.7
24,22.7,24.5,25.6
26,24.4,24.6,26.7
29,25.3,26,24.4
21,21.1,24.2,22.2
22,21.8,22.6,20
28,25.9,28.3,25
29,25,27.4,27.8
23,23.5,26,27.8
19,17.3,21.7,20
27,26.2,27.2,28.9
27,25.1,27.4,27.8
20,17.7,21,20
22,20,20.6,22.2
25,24.4,26,26.7
22,20.6,23.8,25.6
21,19,21,22.2
25,23.7,26,24.4
27,26.5,27.4,27.8
28,25.4,28.5,28.9
21,23.5,27,25.6
24,23.2,25.6,25.6
26,27,28,30
25,24.7,26,25.6
28,27.5,31.2,32.2
26,26.7,27.3,26.7
24,20.4,23,26.7
31,27.4,30.5,31.1
25,24.3,26,27.8
24,20.5,23.5,24.4
25,24.5,26.2,27.8
22,20.7,23.4,23.3
25,24.5,25.2,26.7
24,22,24.3,25.6
20,19,20.8,23.3
21,22,25.4,22.2
21,20.3,23,24.4
23,22,24.5,22.2
24,23.6,25.2,24.4
23,24,26,26.7
24,21.4,23,25.6
25,22,24,24.4
24,22.1,25.3,25.6
22,23,25.2,25.6
27,25.8,28.7,28.9
27,22,26.3,26.7
20,24.4,22,22.2
16,18.3,18.6,20
22,20,21,22.2
23,20.2,22.5,23.3
23,22,23.6,24.4
23,23.3,22,22.2
21.5,20.9,22,23.3
23,22.3,23.4,24.4
25,22.2,24.6,23.3
26,23.6,23.6,25.6
25,23.3,25,24.4
23,22.1,24,24.4
24,24.3,25.5,26.7
26,25.6,28,27.8
26,23.5,26,26.7
21,25,26.5,28.9
19,21.4,23.6,24.4
23,20.7,27,23.3
21,21,20,23.3
24,22,21.5,25.6
25,24.8,25.2,24.4
27,22.2,23.6,26.6
28,25.3,27.5,26.6
28,26.6,26,28.8
21,25.1,25,24.4
21,22.6,23.5,22.2
25.3,24.2,24.8,25.6
25,24,25.3,25.6
